article,len,svc,bfm,bmw_prob,honda_prob,mercedes_prob,mitsubishi_prob,nissan_prob,toyota_prob,unknown_article_prob,vag_prob
52610S3VA05,11,honda,manual_check,0.001455604075691412,0.6128093158660844,0.0,0.010189228529839884,0.3304221251819505,0.04512372634643377,0.0,0.0
MB5706SI025,11,honda,manual_check,0.0,0.07344940152339499,0.0,0.046245919477693145,0.7448313384113167,0.13547334058759522,0.0,0.0
9070150X150,11,honda,manual_check,0.0009225092250922509,0.0959409594095941,0.0,0.0,0.6116236162361623,0.2915129151291513,0.0,0.0
10216933ASP,11,honda,manual_check,0.0,0.17862595419847327,0.0,0.03206106870229008,0.49770992366412214,0.2916030534351145,0.0,0.0
52306S3VA00,11,honda,manual_check,0.005555555555555556,0.7103174603174603,0.0,0.0015873015873015873,0.2611111111111111,0.02142857142857143,0.0,0.0
D141101PLD2,11,honda,manual_check,0.0,0.07344940152339499,0.0,0.046245919477693145,0.7448313384113167,0.13547334058759522,0.0,0.0
91262MY3003,11,honda,manual_check,0.0006830601092896175,0.20355191256830601,0.0,0.004098360655737705,0.6898907103825137,0.10177595628415301,0.0,0.0
19230R9G004,11,honda,manual_check,0.005046863734679163,0.3597692862292718,0.0,0.0,0.5839942321557318,0.05118961788031723,0.0,0.0
62211FBRHCB,11,honda,manual_check,0.0,0.17862595419847327,0.0,0.03206106870229008,0.49770992366412214,0.2916030534351145,0.0,0.0
31100RTA023,11,honda,manual_check,0.005555555555555556,0.7103174603174603,0.0,0.0015873015873015873,0.2611111111111111,0.02142857142857143,0.0,0.0
79506S6A003,11,honda,manual_check,0.009102730819245773,0.3342002600780234,0.0,0.0013003901170351106,0.5546163849154746,0.09947984395318596,0.0,0.0013003901170351106
51687SL4004,11,honda,manual_check,0.004608294930875576,0.3794162826420891,0.0,0.010752688172043012,0.4915514592933948,0.11367127496159754,0.0,0.0
INF11F16D10,11,honda,manual_check,0.0,0.041108545034642036,0.0,0.014780600461893764,0.6475750577367205,0.2951501154734411,0.0,0.0013856812933025404
0K9BV105F0B,11,honda,manual_check,0.0,0.041108545034642036,0.0,0.014780600461893764,0.6475750577367205,0.2951501154734411,0.0,0.0013856812933025404
37500R60U01,11,honda,manual_check,0.0031872509960159364,0.6677290836653387,0.0,0.0,0.31633466135458166,0.012749003984063745,0.0,0.0
22200R4N003,11,honda,manual_check,0.02636916835699797,0.3022312373225152,0.0,0.0010141987829614604,0.5415821501014199,0.12880324543610547,0.0,0.0
0K01161A10A,11,honda,manual_check,0.0,0.1940685286495825,0.0,0.1479988482579902,0.49208177368269507,0.16527497840483732,0.0,0.0005758710048949035
4401114LLDE,11,honda,manual_check,0.0,0.17862595419847327,0.0,0.03206106870229008,0.49770992366412214,0.2916030534351145,0.0,0.0
160105R1305,11,honda,manual_check,0.0,0.14675767918088736,0.0,0.0034129692832764505,0.552901023890785,0.29692832764505117,0.0,0.0
75105TP6A61,11,honda,manual_check,0.0031872509960159364,0.6677290836653387,0.0,0.0,0.31633466135458166,0.012749003984063745,0.0,0.0
4518150X150,11,honda,manual_check,0.0009225092250922509,0.0959409594095941,0.0,0.0,0.6116236162361623,0.2915129151291513,0.0,0.0
76632STKA01,11,honda,manual_check,0.0,0.29891304347826086,0.0,0.007246376811594203,0.6829710144927537,0.010869565217391304,0.0,0.0
91253ZW9003,11,honda,manual_check,0.012048192771084338,0.22375215146299485,0.0,0.0017211703958691911,0.7263339070567987,0.03614457831325301,0.0,0.0
10PAP0037RA,11,honda,manual_check,0.0,0.2656,0.0,0.024,0.7024,0.008,0.0,0.0
111AA0004AE,11,honda,mitsubishi,0.0,0.0008090614886731392,0.0,0.9967637540453075,0.0024271844660194173,0.0,0.0,0.0
